,date,unrate,u_men,u_women,u16_17,u18_19,u20_24,u25_34,u35_44,u45_54
567,1995-04-01,5.6,5.7,5.5,21.8,15.0,8.4,5.6,4.5,3.5
568,1995-05-01,5.5,5.6,5.3,22.1,16.0,8.8,5.1,4.2,3.0
569,1995-06-01,5.8,5.5,6.1,23.3,16.4,9.2,5.3,4.1,3.2
570,1995-07-01,5.9,5.5,6.3,21.0,15.2,9.3,5.3,4.4,3.4
571,1995-08-01,5.6,5.3,6.0,17.3,12.7,9.6,5.2,4.4,3.4
572,1995-09-01,5.4,5.1,5.8,18.1,16.4,10.0,5.3,4.0,3.0
573,1995-10-01,5.2,4.9,5.5,19.0,15.6,8.8,4.8,4.2,3.0
574,1995-11-01,5.3,5.3,5.2,19.7,15.5,8.3,5.1,4.1,3.3
575,1995-12-01,5.2,5.5,4.9,17.7,15.7,8.3,5.1,4.2,3.3
576,1996-01-01,6.3,6.5,6.0,21.2,17.1,11.1,6.2,4.8,4.1
577,1996-02-01,6.0,6.4,5.5,20.6,15.8,10.6,6.0,4.5,3.7
578,1996-03-01,5.8,6.3,5.3,20.5,15.5,9.8,5.7,4.5,3.6
579,1996-04-01,5.4,5.6,5.1,20.4,14.9,8.6,5.2,4.2,3.6
580,1996-05-01,5.4,5.4,5.4,20.8,15.3,9.8,5.1,3.7,3.4
581,1996-06-01,5.5,5.3,5.7,23.3,14.9,9.3,4.9,3.7,3.3
582,1996-07-01,5.6,5.4,5.9,20.0,14.1,9.7,5.3,4.1,3.1
583,1996-08-01,5.1,4.6,5.7,15.9,13.1,8.4,4.8,4.1,3.1
584,1996-09-01,5.0,4.7,5.3,15.0,15.2,9.0,4.8,3.9,3.0
585,1996-10-01,4.9,4.6,5.2,16.3,15.6,8.2,4.6,3.8,3.0
586,1996-11-01,5.0,4.9,5.2,15.7,17.0,8.6,4.8,4.1,3.1
587,1996-12-01,5.0,4.9,5.0,16.7,14.2,8.1,4.8,4.0,3.3
588,1997-01-01,5.9,6.2,5.6,18.5,17.5,10.5,5.6,4.9,3.8
589,1997-02-01,5.7,5.9,5.5,20.5,16.5,9.5,5.7,4.6,3.5
590,1997-03-01,5.5,5.7,5.2,20.5,14.4,9.3,5.3,4.4,3.3
591,1997-04-01,4.8,5.0,4.6,19.9,12.8,8.4,4.7,3.8,3.0
592,1997-05-01,4.7,4.4,5.1,19.8,14.4,8.4,4.4,3.4,2.8
593,1997-06-01,5.2,5.0,5.4,22.0,16.8,8.5,4.6,3.5,3.0
594,1997-07-01,5.0,4.7,5.4,18.5,15.1,7.9,4.8,3.5,3.0
595,1997-08-01,4.8,4.4,5.3,14.7,13.2,8.0,4.7,3.7,2.8
596,1997-09-01,4.7,4.3,5.1,16.8,15.1,8.2,4.5,3.5,2.9
597,1997-10-01,4.4,4.3,4.5,15.4,14.3,7.9,4.1,3.4,2.6
598,1997-11-01,4.3,4.2,4.4,16.3,13.4,7.9,4.0,3.2,2.6
599,1997-12-01,4.4,4.5,4.2,15.2,10.6,7.7,4.0,3.7,2.9
600,1998-01-01,5.2,5.3,5.0,18.0,12.7,10.0,4.8,4.3,3.3
601,1998-02-01,5.0,5.1,4.8,19.4,12.4,9.2,4.8,3.7,3.4
602,1998-03-01,5.0,5.2,4.8,18.1,13.2,8.5,5.0,3.8,3.1
603,1998-04-01,4.1,4.1,4.2,16.4,10.6,7.1,3.9,3.3,2.8
604,1998-05-01,4.2,4.1,4.4,17.2,13.6,7.7,3.9,3.1,2.3
605,1998-06-01,4.7,4.4,5.0,22.5,13.5,8.2,4.2,3.2,2.6
606,1998-07-01,4.7,4.5,4.9,16.5,13.0,8.3,4.4,3.2,2.9
607,1998-08-01,4.5,4.0,5.0,14.1,12.0,8.4,4.2,3.3,2.7
608,1998-09-01,4.4,4.2,4.6,15.3,14.5,8.3,4.3,3.0,2.5
609,1998-10-01,4.2,4.0,4.5,16.8,14.4,6.7,4.4,3.0,2.4
610,1998-11-01,4.1,3.9,4.4,16.8,13.2,6.3,3.9,3.1,2.5
611,1998-12-01,4.0,4.2,3.8,14.5,10.9,6.5,3.9,3.2,2.6
612,1999-01-01,4.8,4.9,4.6,19.3,14.2,7.9,4.6,3.5,3.1
613,1999-02-01,4.7,4.9,4.5,16.4,13.6,8.5,4.7,3.5,3.1
614,1999-03-01,4.4,4.4,4.5,17.8,12.5,7.7,4.3,3.1,2.7
615,1999-04-01,4.1,4.0,4.2,17.6,10.8,7.0,3.9,3.1,2.6
616,1999-05-01,4.0,3.9,4.0,16.6,11.1,7.5,3.6,3.0,2.2
617,1999-06-01,4.5,4.2,4.8,21.1,12.8,7.8,3.9,3.1,2.3
618,1999-07-01,4.5,4.1,4.9,15.5,11.7,7.9,4.2,3.0,2.6
619,1999-08-01,4.2,3.8,4.6,12.9,10.8,7.4,3.9,3.3,2.5
620,1999-09-01,4.1,3.8,4.4,13.9,15.1,7.3,3.8,3.0,2.4
621,1999-10-01,3.8,3.8,4.0,14.4,13.0,7.1,3.7,2.7,2.3
622,1999-11-01,3.8,3.7,4.0,15.8,12.5,7.0,3.6,2.6,2.4
623,1999-12-01,3.7,3.9,3.5,14.3,10.7,6.7,3.4,2.7,2.6
624,2000-01-01,4.5,4.6,4.3,15.0,12.5,8.2,4.1,3.4,3.1
625,2000-02-01,4.4,4.7,4.2,16.6,13.2,8.3,4.0,3.4,2.7
626,2000-03-01,4.3,4.3,4.3,16.2,12.0,7.9,4.0,3.5,2.3
627,2000-04-01,3.7,3.7,3.7,15.5,9.7,6.7,3.4,3.0,2.1
628,2000-05-01,3.8,3.6,4.1,16.4,10.3,8.1,3.6,2.8,2.1
629,2000-06-01,4.1,3.9,4.5,18.3,11.8,7.7,3.5,3.0,2.4
630,2000-07-01,4.2,3.8,4.6,16.2,11.5,7.1,3.9,3.0,2.5
631,2000-08-01,4.1,3.6,4.6,13.8,11.5,6.5,3.8,3.2,2.7
632,2000-09-01,3.8,3.5,4.1,13.6,12.3,6.4,3.5,2.8,2.4
633,2000-10-01,3.6,3.5,3.7,13.3,11.8,6.3,3.4,2.6,2.3
634,2000-11-01,3.7,3.7,3.8,15.0,11.8,6.3,3.4,2.8,2.3
635,2000-12-01,3.7,4.0,3.4,14.0,10.4,6.4,3.5,2.8,2.4
636,2001-01-01,4.7,5.0,4.3,18.1,12.4,8.0,4.7,3.5,3.1
637,2001-02-01,4.6,4.9,4.2,18.3,11.9,8.1,4.3,3.4,3.2
638,2001-03-01,4.5,4.8,4.2,17.0,12.3,8.2,4.3,3.5,3.0
639,2001-04-01,4.2,4.4,4.0,17.4,10.8,7.6,4.2,3.0,2.9
640,2001-05-01,4.1,4.2,4.1,16.0,11.5,8.2,4.0,3.1,2.6
641,2001-06-01,4.7,4.7,4.8,20.8,14.0,8.4,4.4,3.3,2.7
642,2001-07-01,4.7,4.5,5.0,18.4,11.9,7.9,4.3,3.6,3.0
643,2001-08-01,4.9,4.6,5.2,15.4,13.1,8.8,4.8,3.7,3.3
644,2001-09-01,4.7,4.5,5.0,14.0,15.3,8.2,4.5,3.8,3.0
645,2001-10-01,5.0,5.0,5.0,15.4,15.3,8.7,4.8,3.9,3.4
646,2001-11-01,5.3,5.4,5.1,16.8,15.4,8.7,5.4,4.3,3.4
647,2001-12-01,5.4,5.7,5.1,17.4,13.7,8.9,5.8,4.3,3.5
648,2002-01-01,6.3,6.8,5.7,18.9,16.3,10.7,6.7,5.2,4.4
649,2002-02-01,6.1,6.6,5.6,18.2,15.8,10.5,6.3,4.8,4.4
650,2002-03-01,6.1,6.6,5.5,19.3,15.3,10.9,6.2,4.9,4.1
651,2002-04-01,5.7,5.9,5.5,20.3,13.6,9.4,6.0,4.6,4.1
652,2002-05-01,5.5,5.5,5.5,21.2,13.8,9.2,5.6,4.3,3.9
653,2002-06-01,6.0,6.0,6.1,24.4,16.3,9.5,5.8,4.1,4.3
654,2002-07-01,5.9,5.7,6.2,20.1,15.1,9.5,5.7,4.5,4.3
655,2002-08-01,5.7,5.5,5.9,16.5,14.8,9.4,5.9,4.3,3.9
656,2002-09-01,5.4,5.3,5.4,16.7,15.2,9.2,5.4,4.3,3.6
657,2002-10-01,5.3,5.3,5.4,13.7,14.9,9.6,5.2,4.5,3.6
658,2002-11-01,5.6,5.9,5.4,18.8,16.0,9.1,5.7,4.8,3.8
659,2002-12-01,5.7,6.2,5.1,15.7,14.4,9.0,6.0,4.6,4.0
660,2003-01-01,6.5,7.2,5.6,18.7,17.2,10.4,6.9,5.2,4.5
661,2003-02-01,6.4,7.0,5.6,19.2,17.1,10.2,6.3,5.7,4.5
662,2003-03-01,6.2,6.7,5.6,17.9,17.9,9.6,6.2,5.3,4.7
663,2003-04-01,5.8,6.3,5.3,19.5,15.7,9.6,5.8,4.8,4.2
664,2003-05-01,5.8,6.1,5.5,19.3,17.2,10.6,5.7,4.7,3.7
665,2003-06-01,6.5,6.7,6.4,26.7,19.0,10.7,6.3,5.1,3.8
666,2003-07-01,6.3,6.3,6.3,21.5,16.5,10.2,6.1,5.1,4.1
667,2003-08-01,6.0,5.9,6.2,16.1,14.6,10.2,6.2,4.9,4.1
668,2003-09-01,5.8,5.8,5.8,16.6,17.3,10.4,5.9,4.6,3.9
669,2003-10-01,5.6,5.6,5.5,17.9,15.3,9.5,5.8,4.7,3.7
670,2003-11-01,5.6,6.0,5.2,16.4,15.0,9.8,5.8,4.7,3.8
671,2003-12-01,5.4,5.8,5.0,16.2,13.1,8.8,5.8,4.6,3.8
672,2004-01-01,6.3,6.7,5.8,18.4,16.9,10.7,6.6,5.0,4.5
673,2004-02-01,6.0,6.4,5.5,17.9,16.6,10.1,6.2,4.9,4.3
674,2004-03-01,6.0,6.4,5.6,20.4,14.7,10.1,6.2,5.2,4.3
675,2004-04-01,5.4,5.6,5.1,21.1,13.3,8.7,5.4,4.3,4.0
676,2004-05-01,5.3,5.5,5.1,22.7,14.2,9.9,5.2,3.9,3.6
677,2004-06-01,5.8,5.6,6.0,26.7,15.5,10.1,5.1,4.4,3.8
678,2004-07-01,5.7,5.4,6.1,21.8,15.8,9.1,5.6,4.4,3.8
679,2004-08-01,5.4,5.2,5.6,18.0,13.9,8.9,5.3,4.3,3.6
680,2004-09-01,5.1,5.0,5.2,16.8,15.7,9.5,4.9,4.2,3.3
681,2004-10-01,5.1,5.1,5.1,18.3,15.2,9.4,5.1,3.9,3.3
682,2004-11-01,5.2,5.3,5.0,20.2,13.7,8.7,5.4,3.9,3.5
683,2004-12-01,5.1,5.5,4.7,18.1,14.0,8.1,5.6,3.9,3.8
684,2005-01-01,5.7,6.2,5.2,18.8,15.2,10.5,5.8,4.5,4.0
685,2005-02-01,5.8,6.3,5.2,20.4,16.8,10.7,5.6,4.6,4.0
686,2005-03-01,5.4,5.8,4.9,19.8,15.3,9.3,5.7,4.2,3.7
687,2005-04-01,4.9,5.0,4.9,20.2,15.8,8.3,5.1,3.8,3.3
688,2005-05-01,4.9,4.8,5.0,21.5,16.3,9.0,4.7,3.6,3.3
689,2005-06-01,5.2,5.0,5.5,23.4,16.2,9.1,5.2,3.7,3.3
690,2005-07-01,5.2,4.8,5.7,19.9,14.0,8.0,5.2,3.8,3.7
691,2005-08-01,4.9,4.6,5.2,16.0,14.3,8.6,5.0,3.7,3.2
692,2005-09-01,4.8,4.6,5.1,16.2,14.5,8.7,5.1,3.5,3.3
693,2005-10-01,4.6,4.4,5.0,17.0,14.1,8.1,4.5,3.7,3.3
694,2005-11-01,4.8,4.8,4.9,20.6,14.2,7.9,4.9,3.8,3.4
695,2005-12-01,4.6,4.8,4.4,15.1,11.8,7.8,4.9,3.7,3.4
696,2006-01-01,5.1,5.3,4.9,15.7,15.3,9.1,5.2,4.1,3.6
697,2006-02-01,5.1,5.5,4.7,17.8,14.8,9.1,5.6,3.9,3.6
698,2006-03-01,4.8,5.1,4.5,19.0,13.8,7.8,5.2,4.1,3.4
699,2006-04-01,4.5,4.6,4.4,15.7,13.4,7.7,4.8,3.7,3.2
700,2006-05-01,4.4,4.5,4.3,16.2,13.3,8.3,4.5,3.2,3.1
701,2006-06-01,4.8,4.6,5.0,22.3,15.5,8.2,4.6,3.3,3.0
702,2006-07-01,5.0,4.6,5.3,18.3,14.5,8.3,4.8,3.6,3.3
703,2006-08-01,4.6,4.4,5.0,16.8,13.8,8.1,4.3,3.8,3.2
704,2006-09-01,4.4,4.0,4.8,15.7,16.1,8.0,4.4,3.3,2.8
705,2006-10-01,4.1,4.0,4.3,16.2,13.1,8.2,4.3,2.7,2.5
706,2006-11-01,4.3,4.3,4.4,16.8,13.1,8.0,4.2,3.4,2.7
707,2006-12-01,4.3,4.5,4.0,14.5,12.1,7.2,4.2,3.7,2.9
708,2007-01-01,5.0,5.4,4.6,15.9,14.6,9.0,5.4,3.8,3.4
709,2007-02-01,4.9,5.4,4.2,17.0,14.7,8.0,5.3,3.6,3.6
710,2007-03-01,4.5,5.0,4.1,16.6,13.3,7.6,4.7,3.5,3.3
711,2007-04-01,4.3,4.5,4.1,16.2,14.5,7.3,4.3,3.3,3.1
712,2007-05-01,4.3,4.4,4.1,17.8,15.4,7.4,4.2,3.0,2.9
713,2007-06-01,4.7,4.7,4.8,21.7,16.9,8.4,4.5,3.2,2.9
714,2007-07-01,4.9,4.6,5.2,17.8,13.9,8.2,4.7,3.8,3.3
715,2007-08-01,4.6,4.3,5.0,16.5,13.9,8.3,4.5,3.6,3.1
716,2007-09-01,4.5,4.4,4.6,16.8,15.1,8.9,4.6,3.2,2.9
717,2007-10-01,4.4,4.4,4.4,15.9,13.9,8.4,4.4,3.3,3.1
718,2007-11-01,4.5,4.5,4.5,19.0,14.1,7.7,4.5,3.5,3.2
719,2007-12-01,4.8,5.1,4.4,17.4,13.8,8.7,4.8,3.7,3.6
720,2008-01-01,5.4,5.9,4.8,20.0,17.2,9.8,5.6,4.0,3.8
721,2008-02-01,5.2,5.7,4.6,18.5,16.5,9.5,5.3,3.9,3.9
722,2008-03-01,5.2,5.7,4.7,18.8,13.6,9.2,5.7,4.1,3.7
723,2008-04-01,4.8,5.0,4.4,19.4,12.5,8.2,4.9,3.8,3.6
724,2008-05-01,5.2,5.4,5.1,22.5,17.7,10.5,5.0,3.9,3.5
725,2008-06-01,5.7,5.8,5.7,29.8,16.9,10.6,5.4,4.2,3.7
726,2008-07-01,6.0,6.1,6.0,26.3,17.6,10.2,5.7,4.7,3.9
727,2008-08-01,6.1,5.8,6.4,19.8,16.6,10.6,6.0,5.1,4.2
728,2008-09-01,6.0,6.2,5.6,19.3,18.9,10.9,5.9,4.9,4.0
729,2008-10-01,6.1,6.5,5.7,21.3,18.1,10.5,6.3,5.1,4.2
730,2008-11-01,6.5,6.9,5.9,24.0,17.9,10.4,6.7,5.3,4.8
731,2008-12-01,7.1,8.1,6.0,21.5,17.5,11.6,7.5,6.0,5.7
732,2009-01-01,8.5,9.7,7.0,20.8,21.7,13.5,9.2,7.4,6.7
733,2009-02-01,8.9,10.4,7.2,22.8,22.7,13.8,9.8,7.5,7.2
734,2009-03-01,9.0,10.6,7.3,23.6,20.4,13.9,10.0,7.8,7.2
735,2009-04-01,8.6,9.9,7.1,21.8,20.4,13.7,9.6,7.5,6.6
736,2009-05-01,9.1,10.2,7.7,24.2,23.3,15.5,10.1,7.5,6.5
737,2009-06-01,9.7,10.4,8.9,32.1,25.4,16.0,9.8,7.7,7.0
738,2009-07-01,9.7,10.2,9.2,27.5,23.2,15.4,10.1,7.9,7.4
739,2009-08-01,9.6,10.1,8.9,24.1,24.3,15.2,10.1,8.1,7.5
740,2009-09-01,9.5,10.2,8.6,26.2,25.7,15.1,10.1,8.3,7.4
741,2009-10-01,9.5,10.3,8.5,28.5,25.5,15.3,10.1,8.5,7.1
742,2009-11-01,9.4,10.4,8.2,29.5,25.2,14.8,9.7,8.3,7.3
743,2009-12-01,9.7,11.1,8.1,27.4,23.5,14.7,9.9,8.8,8.0
744,2010-01-01,10.6,12.3,8.5,26.8,26.9,17.1,11.0,9.4,8.5
745,2010-02-01,10.4,12.2,8.5,27.4,25.0,16.6,10.8,9.5,8.4
746,2010-03-01,10.2,11.8,8.3,29.2,23.6,15.8,10.9,9.1,8.4
747,2010-04-01,9.5,10.6,8.2,27.3,22.3,16.4,10.0,7.9,7.7
748,2010-05-01,9.3,10.1,8.5,30.2,25.0,15.2,10.3,7.4,7.2
749,2010-06-01,9.6,10.3,8.8,35.8,25.2,16.1,10.1,7.4,7.2
750,2010-07-01,9.7,10.0,9.4,32.2,23.5,15.7,9.8,7.9,7.4
751,2010-08-01,9.5,9.8,9.3,28.7,23.1,14.7,9.5,7.6,8.0
752,2010-09-01,9.2,9.6,8.7,28.5,24.3,14.6,9.5,8.1,7.1
753,2010-10-01,9.0,9.4,8.6,29.5,25.3,14.8,9.3,7.4,7.1
754,2010-11-01,9.3,9.9,8.6,25.3,23.8,14.8,9.8,7.5,7.8
755,2010-12-01,9.1,10.2,8.0,25.0,22.7,14.2,9.8,7.8,7.6
756,2011-01-01,9.8,10.8,8.6,26.5,26.3,16.3,10.1,8.1,7.9
757,2011-02-01,9.5,10.5,8.4,27.9,22.4,16.1,10.1,8.0,7.7
758,2011-03-01,9.2,10.2,8.0,28.6,21.4,15.0,9.8,7.6,7.6
759,2011-04-01,8.7,9.3,7.9,29.5,20.2,14.2,9.4,7.1,7.0
760,2011-05-01,8.7,9.2,8.3,29.5,21.5,15.2,9.2,7.1,6.8
761,2011-06-01,9.3,9.6,9.1,34.1,24.1,15.2,9.5,7.4,7.0
762,2011-07-01,9.3,9.2,9.4,30.5,22.9,14.7,9.7,7.1,7.2
763,2011-08-01,9.1,9.0,9.2,26.9,23.5,14.5,9.2,7.6,7.1
764,2011-09-01,8.8,8.8,8.8,24.8,24.3,14.3,9.3,7.3,6.8
765,2011-10-01,8.5,8.7,8.3,23.6,24.0,13.4,9.3,6.8,6.5
766,2011-11-01,8.2,8.4,7.9,22.6,23.8,13.2,8.7,6.7,6.4
767,2011-12-01,8.3,8.8,7.7,25.5,19.6,13.4,9.2,6.9,6.6
768,2012-01-01,8.8,9.3,8.3,28.1,22.4,14.2,9.6,7.5,6.9
769,2012-02-01,8.7,9.3,8.1,29.4,21.1,14.6,9.2,7.3,7.0
770,2012-03-01,8.4,8.9,7.7,28.5,22.0,13.1,9.0,6.8,6.6
771,2012-04-01,7.7,8.0,7.4,24.8,22.5,12.6,7.9,6.3,6.0
772,2012-05-01,7.9,8.1,7.7,27.0,23.1,13.3,8.0,6.4,6.0
773,2012-06-01,8.4,8.4,8.4,32.8,23.0,14.4,8.2,6.7,6.1
774,2012-07-01,8.6,8.2,9.0,29.0,21.9,13.7,8.3,6.8,6.6
775,2012-08-01,8.2,8.0,8.4,27.5,22.1,13.9,8.1,6.6,6.4
776,2012-09-01,7.6,7.6,7.6,23.4,24.0,12.1,7.9,6.2,5.8
777,2012-10-01,7.5,7.5,7.6,23.1,23.7,12.7,8.0,5.9,5.6
778,2012-11-01,7.4,7.5,7.2,28.4,20.5,11.8,7.4,6.0,5.8
779,2012-12-01,7.6,7.9,7.3,23.5,21.2,12.8,7.7,6.7,5.9
780,2013-01-01,8.5,9.0,7.9,28.2,22.2,15.3,8.3,7.1,6.5
781,2013-02-01,8.1,8.5,7.6,28.6,23.3,13.7,8.2,6.7,6.0
782,2013-03-01,7.6,8.0,7.2,27.6,21.1,13.3,7.7,6.3,5.9
783,2013-04-01,7.1,7.5,6.7,26.1,20.6,12.5,7.1,5.6,5.7
784,2013-05-01,7.3,7.6,6.8,28.3,22.2,13.5,6.9,5.8,5.6
785,2013-06-01,7.8,7.8,7.8,32.3,23.4,14.3,7.6,5.7,5.5
786,2013-07-01,7.7,7.6,7.8,32.1,19.4,12.7,7.6,6.0,5.8
787,2013-08-01,7.3,7.4,7.3,24.3,21.2,13.0,7.6,5.6,5.5
788,2013-09-01,7.0,7.3,6.7,22.4,20.6,12.5,7.2,5.4,5.3
789,2013-10-01,7.0,7.1,6.8,21.3,22.0,11.8,7.0,5.4,5.5
790,2013-11-01,6.6,6.9,6.3,21.9,18.9,10.7,7.1,5.4,5.3
791,2013-12-01,6.5,6.8,6.1,21.0,16.9,10.2,6.8,5.4,5.1
792,2014-01-01,7.0,7.5,6.5,21.1,21.0,12.9,7.3,5.5,5.5
793,2014-02-01,7.0,7.6,6.3,21.3,21.5,12.7,7.5,5.5,5.5
794,2014-03-01,6.8,7.1,6.4,20.0,20.3,12.4,7.0,5.4,5.1
795,2014-04-01,5.9,6.1,5.6,21.0,16.2,10.0,6.3,4.6,4.4
796,2014-05-01,6.1,6.2,5.9,23.9,17.1,11.3,6.3,4.8,4.3
797,2014-06-01,6.3,6.3,6.3,29.7,20.7,11.3,6.4,4.4,4.0
798,2014-07-01,6.5,6.2,6.9,25.9,18.2,11.4,6.7,4.9,4.3
799,2014-08-01,6.3,6.0,6.6,22.3,17.3,10.7,6.9,4.8,4.3
800,2014-09-01,5.7,5.5,6.0,17.9,21.0,11.4,6.1,4.3,3.9
801,2014-10-01,5.5,5.3,5.8,19.9,17.3,10.1,6.1,4.2,3.8
802,2014-11-01,5.5,5.6,5.4,16.2,16.9,9.9,5.8,4.2,4.0
803,2014-12-01,5.4,5.7,4.9,16.2,14.1,9.9,5.7,4.3,4.0
804,2015-01-01,6.1,6.5,5.6,19.1,19.3,10.6,6.4,4.9,4.5
805,2015-02-01,5.8,6.3,5.3,17.6,16.8,10.5,5.8,4.8,4.2
806,2015-03-01,5.6,6.0,5.1,17.3,16.8,10.6,5.9,4.3,3.9
807,2015-04-01,5.1,5.2,4.9,19.1,13.8,8.9,5.4,4.1,3.7
808,2015-05-01,5.3,5.4,5.2,20.0,16.7,10.3,5.5,4.2,3.7
809,2015-06-01,5.5,5.4,5.5,23.9,19.9,10.5,5.5,3.8,3.3
810,2015-07-01,5.6,5.2,6.0,19.9,15.3,10.2,5.6,4.2,3.9
811,2015-08-01,5.2,4.9,5.5,18.2,15.5,8.8,5.3,3.9,3.9
812,2015-09-01,4.9,4.8,5.0,15.1,16.8,9.1,4.9,3.9,3.2
813,2015-10-01,4.8,4.8,4.9,16.2,14.9,9.0,5.2,3.9,3.4
814,2015-11-01,4.8,4.9,4.7,15.4,14.6,8.9,5.3,3.7,3.2
815,2015-12-01,4.8,5.1,4.4,15.0,13.7,8.7,5.2,4.0,3.6
816,2016-01-01,5.3,5.5,5.1,17.4,16.0,8.8,5.5,4.4,3.9
817,2016-02-01,5.2,5.5,4.8,18.5,14.0,9.1,5.4,4.1,3.8
818,2016-03-01,5.1,5.3,4.9,18.9,13.7,8.6,5.3,4.0,3.8
819,2016-04-01,4.7,4.8,4.6,19.4,12.0,8.2,4.9,3.8,3.4
820,2016-05-01,4.5,4.6,4.5,19.4,14.5,8.4,4.8,3.3,3.2
821,2016-06-01,5.1,5.0,5.2,22.2,17.3,9.2,5.2,3.6,3.3
822,2016-07-01,5.1,5.0,5.3,17.5,15.6,9.2,5.2,3.6,3.6
823,2016-08-01,5.0,4.7,5.3,16.1,15.0,7.8,5.3,4.1,3.8
824,2016-09-01,4.8,4.8,4.8,14.9,16.4,8.1,5.0,4.0,3.4
825,2016-10-01,4.7,4.7,4.6,18.2,13.4,8.2,5.0,3.7,3.2
826,2016-11-01,4.4,4.6,4.3,16.2,13.7,7.4,4.7,3.4,3.3
827,2016-12-01,4.5,4.8,4.1,15.0,11.5,7.6,4.6,4.0,3.3
828,2017-01-01,5.1,5.4,4.9,15.2,15.5,9.0,5.4,4.4,3.6
829,2017-02-01,4.9,5.3,4.6,17.4,13.5,8.4,5.1,4.5,3.5
830,2017-03-01,4.6,4.9,4.1,17.1,10.8,7.3,4.7,4.1,3.4
831,2017-04-01,4.1,4.1,4.1,17.3,11.1,6.7,4.1,3.4,3.2
832,2017-05-01,4.1,4.0,4.2,13.7,14.6,6.6,4.6,3.1,3.0
833,2017-06-01,4.5,4.4,4.7,17.7,14.9,8.0,4.3,3.2,3.4
834,2017-07-01,4.6,4.3,4.9,17.2,11.4,7.8,4.7,3.6,3.3
835,2017-08-01,4.5,4.3,4.8,14.1,13.2,6.9,5.0,3.4,3.7
836,2017-09-01,4.1,4.0,4.2,11.3,13.7,7.5,4.2,3.1,2.9
837,2017-10-01,3.9,3.9,3.8,13.8,13.2,7.0,4.3,2.9,2.5
838,2017-11-01,3.9,4.0,3.8,17.9,14.2,6.6,4.1,2.9,2.5
839,2017-12-01,3.9,4.2,3.7,12.9,11.3,6.7,4.3,3.0,2.7
840,2018-01-01,4.5,4.8,4.2,14.6,14.5,8.2,4.7,3.5,3.3
841,2018-02-01,4.4,4.6,4.1,15.8,14.0,7.2,4.6,3.4,3.1
842,2018-03-01,4.1,4.4,3.8,15.0,11.5,6.5,4.3,3.4,3.1
843,2018-04-01,3.7,3.9,3.4,14.3,10.3,6.1,4.1,2.8,2.7
844,2018-05-01,3.6,3.7,3.4,15.0,11.8,7.0,3.6,2.6,2.5
845,2018-06-01,4.2,4.1,4.2,17.8,13.2,8.1,3.9,2.9,3.0
846,2018-07-01,4.1,3.8,4.5,14.6,12.8,7.3,3.6,3.1,3.1
847,2018-08-01,3.9,3.7,4.3,12.4,12.3,6.5,4.3,2.9,2.7
848,2018-09-01,3.6,3.5,3.6,11.4,12.9,6.9,3.3,2.8,2.5
849,2018-10-01,3.5,3.5,3.6,9.3,13.0,6.6,3.6,2.8,2.5
850,2018-11-01,3.5,3.4,3.5,12.8,11.4,6.0,3.5,2.7,2.4
851,2018-12-01,3.7,4.0,3.4,12.0,10.4,6.8,3.9,2.8,2.9
852,2019-01-01,4.4,4.7,4.1,14.6,13.3,8.6,4.4,3.3,3.3
853,2019-02-01,4.1,4.4,3.8,17.0,12.5,7.5,4.4,2.9,3.1
854,2019-03-01,3.9,4.3,3.5,12.9,11.8,7.1,4.1,3.0,3.1
855,2019-04-01,3.3,3.6,3.1,14.3,10.6,5.8,3.6,2.5,2.4
856,2019-05-01,3.4,3.4,3.3,14.4,12.0,7.0,3.2,2.4,2.3
857,2019-06-01,3.8,3.7,4.0,18.4,13.1,6.8,3.5,2.7,2.7
858,2019-07-01,4.0,3.7,4.3,17.1,11.2,7.1,3.8,2.9,2.9
859,2019-08-01,3.8,3.5,4.1,11.7,12.3,6.8,3.8,2.8,3.0
860,2019-09-01,3.3,3.3,3.4,10.5,13.1,6.2,3.3,2.5,2.6
861,2019-10-01,3.3,3.3,3.3,12.3,11.3,6.0,3.6,2.5,2.3
862,2019-11-01,3.3,3.3,3.3,12.0,11.4,5.9,3.4,2.6,2.3
863,2019-12-01,3.4,3.5,3.2,11.9,10.4,6.0,3.5,2.8,2.5
864,2020-01-01,4.0,4.2,3.7,11.2,14.1,7.6,4.2,3.1,2.7
865,2020-02-01,3.8,4.1,3.4,9.9,12.3,6.7,4.0,3.0,2.8
866,2020-03-01,4.5,4.8,4.2,16.5,12.2,8.6,4.5,3.6,3.4
867,2020-04-01,14.4,13.3,15.7,30.1,33.3,25.0,14.3,11.3,12.1
868,2020-05-01,13.0,11.9,14.3,31.9,30.1,23.2,13.1,9.8,10.4
869,2020-06-01,11.2,10.5,12.0,27.2,22.9,20.1,11.7,8.9,8.3
870,2020-07-01,10.5,9.7,11.3,19.6,18.8,18.2,11.5,8.2,8.0
871,2020-08-01,8.5,8.0,9.1,13.3,17.4,13.7,9.8,6.5,6.4
872,2020-09-01,7.7,7.3,8.0,14.8,16.8,12.4,8.4,6.1,6.2
873,2020-10-01,6.6,6.6,6.5,11.6,14.0,10.5,7.1,5.6,5.7
874,2020-11-01,6.4,6.6,6.1,13.9,12.8,9.9,6.7,5.4,5.2
875,2020-12-01,6.5,6.7,6.3,11.8,15.3,10.6,6.4,5.5,5.3
876,2021-01-01,6.8,7.1,6.5,15.2,15.9,10.8,7.2,6.1,5.2
