,date,rank,song,artist,last-week,peak-rank,weeks-on-board
65111,2009-05-16,12,I Know You Want Me (Calle Ocho),Pitbull,16.0,12,10
65215,2009-05-09,16,I Know You Want Me (Calle Ocho),Pitbull,23.0,16,9
65322,2009-05-02,23,I Know You Want Me (Calle Ocho),Pitbull,27.0,23,8
65426,2009-04-25,27,I Know You Want Me (Calle Ocho),Pitbull,32.0,27,7
65531,2009-04-18,32,I Know You Want Me (Calle Ocho),Pitbull,37.0,32,6
65636,2009-04-11,37,I Know You Want Me (Calle Ocho),Pitbull,44.0,37,5
65743,2009-04-04,44,I Know You Want Me (Calle Ocho),Pitbull,50.0,44,4
65849,2009-03-28,50,I Know You Want Me (Calle Ocho),Pitbull,54.0,50,3
65953,2009-03-21,54,I Know You Want Me (Calle Ocho),Pitbull,66.0,54,2
66065,2009-03-14,66,I Know You Want Me (Calle Ocho),Pitbull,,66,1
66475,2009-02-14,76,Krazy,Pitbull Featuring Lil Jon,83.0,30,19
66582,2009-02-07,83,Krazy,Pitbull Featuring Lil Jon,72.0,30,18
66671,2009-01-31,72,Krazy,Pitbull Featuring Lil Jon,73.0,30,17
66772,2009-01-24,73,Krazy,Pitbull Featuring Lil Jon,70.0,30,16
66869,2009-01-17,70,Krazy,Pitbull Featuring Lil Jon,64.0,30,15
66963,2009-01-10,64,Krazy,Pitbull Featuring Lil Jon,84.0,30,14
67083,2009-01-03,84,Krazy,Pitbull Featuring Lil Jon,83.0,30,13
67182,2008-12-27,83,Krazy,Pitbull Featuring Lil Jon,78.0,30,12
67277,2008-12-20,78,Krazy,Pitbull Featuring Lil Jon,55.0,30,11
67354,2008-12-13,55,Krazy,Pitbull Featuring Lil Jon,50.0,30,10
67449,2008-12-06,50,Krazy,Pitbull Featuring Lil Jon,47.0,30,9
67546,2008-11-29,47,Krazy,Pitbull Featuring Lil Jon,38.0,30,8
67637,2008-11-22,38,Krazy,Pitbull Featuring Lil Jon,34.0,30,7
67733,2008-11-15,34,Krazy,Pitbull Featuring Lil Jon,33.0,30,6
67832,2008-11-08,33,Krazy,Pitbull Featuring Lil Jon,35.0,30,5
67934,2008-11-01,35,Krazy,Pitbull Featuring Lil Jon,30.0,30,4
68029,2008-10-25,30,Krazy,Pitbull Featuring Lil Jon,33.0,30,3
68132,2008-10-18,33,Krazy,Pitbull Featuring Lil Jon,63.0,33,2
68262,2008-10-11,63,Krazy,Pitbull Featuring Lil Jon,,63,1
70386,2008-05-17,87,The Anthem,Pitbull Featuring Lil Jon,74.0,36,18
70473,2008-05-10,74,The Anthem,Pitbull Featuring Lil Jon,68.0,36,17
70567,2008-05-03,68,The Anthem,Pitbull Featuring Lil Jon,64.0,36,16
70663,2008-04-26,64,The Anthem,Pitbull Featuring Lil Jon,66.0,36,15
70765,2008-04-19,66,The Anthem,Pitbull Featuring Lil Jon,61.0,36,14
70860,2008-04-12,61,The Anthem,Pitbull Featuring Lil Jon,47.0,36,13
70946,2008-04-05,47,The Anthem,Pitbull Featuring Lil Jon,36.0,36,12
71035,2008-03-29,36,The Anthem,Pitbull Featuring Lil Jon,38.0,36,11
71137,2008-03-22,38,The Anthem,Pitbull Featuring Lil Jon,52.0,38,10
