,date,rank,song,artist,last-week,peak-rank,weeks-on-board
39219,2014-05-03,20,Timber,Pitbull Featuring Ke$ha,17.0,1,28
39242,2014-05-03,43,Wild Wild Love,Pitbull Featuring G.R.L.,52.0,43,8
39248,2014-05-03,49,Mmm Yeah,Austin Mahone Featuring Pitbull,56.0,49,9
39316,2014-04-26,17,Timber,Pitbull Featuring Ke$ha,13.0,1,27
39351,2014-04-26,52,Wild Wild Love,Pitbull Featuring G.R.L.,57.0,52,7
39355,2014-04-26,56,Mmm Yeah,Austin Mahone Featuring Pitbull,51.0,51,8
39387,2014-04-26,88,We Are One (Ole Ola) [The 2014 FIFA World Cup Official Song],Pitbull Featuring Jennifer Lopez & Claudia Leitte,,88,1
39412,2014-04-19,13,Timber,Pitbull Featuring Ke$ha,13.0,1,26
39450,2014-04-19,51,Mmm Yeah,Austin Mahone Featuring Pitbull,62.0,51,7
39456,2014-04-19,57,Wild Wild Love,Pitbull Featuring G.R.L.,82.0,57,6
39512,2014-04-12,13,Timber,Pitbull Featuring Ke$ha,11.0,1,25
39561,2014-04-12,62,Mmm Yeah,Austin Mahone Featuring Pitbull,64.0,60,6
39581,2014-04-12,82,Wild Wild Love,Pitbull Featuring G.R.L.,93.0,81,5
39610,2014-04-05,11,Timber,Pitbull Featuring Ke$ha,11.0,1,24
39663,2014-04-05,64,Mmm Yeah,Austin Mahone Featuring Pitbull,70.0,60,5
39692,2014-04-05,93,Wild Wild Love,Pitbull Featuring G.R.L.,92.0,81,4
39710,2014-03-29,11,Timber,Pitbull Featuring Ke$ha,10.0,1,23
39769,2014-03-29,70,Mmm Yeah,Austin Mahone Featuring Pitbull,93.0,60,4
39791,2014-03-29,92,Wild Wild Love,Pitbull Featuring G.R.L.,81.0,81,3
39809,2014-03-22,10,Timber,Pitbull Featuring Ke$ha,10.0,1,22
39880,2014-03-22,81,Wild Wild Love,Pitbull Featuring G.R.L.,89.0,81,2
39892,2014-03-22,93,Mmm Yeah,Austin Mahone Featuring Pitbull,,60,3
39909,2014-03-15,10,Timber,Pitbull Featuring Ke$ha,10.0,1,21
39988,2014-03-15,89,Wild Wild Love,Pitbull Featuring G.R.L.,,89,1
40009,2014-03-08,10,Timber,Pitbull Featuring Ke$ha,7.0,1,20
40106,2014-03-01,7,Timber,Pitbull Featuring Ke$ha,6.0,1,19
40205,2014-02-22,6,Timber,Pitbull Featuring Ke$ha,3.0,1,18
40302,2014-02-15,3,Timber,Pitbull Featuring Ke$ha,2.0,1,17
40391,2014-02-15,92,Mmm Yeah,Austin Mahone Featuring Pitbull,60.0,60,2
40401,2014-02-08,2,Timber,Pitbull Featuring Ke$ha,1.0,1,16
40459,2014-02-08,60,Mmm Yeah,Austin Mahone Featuring Pitbull,,60,1
40500,2014-02-01,1,Timber,Pitbull Featuring Ke$ha,1.0,1,15
40600,2014-01-25,1,Timber,Pitbull Featuring Ke$ha,1.0,1,14
40700,2014-01-18,1,Timber,Pitbull Featuring Ke$ha,2.0,1,13
40801,2014-01-11,2,Timber,Pitbull Featuring Ke$ha,2.0,2,12
40901,2014-01-04,2,Timber,Pitbull Featuring Ke$ha,2.0,2,11
41001,2013-12-28,2,Timber,Pitbull Featuring Ke$ha,2.0,2,10
41101,2013-12-21,2,Timber,Pitbull Featuring Ke$ha,4.0,2,9
41203,2013-12-14,4,Timber,Pitbull Featuring Ke$ha,8.0,4,8
41307,2013-12-07,8,Timber,Pitbull Featuring Ke$ha,10.0,8,7
41409,2013-11-30,10,Timber,Pitbull Featuring Ke$ha,15.0,10,6
41514,2013-11-23,15,Timber,Pitbull Featuring Ke$ha,20.0,15,5
41619,2013-11-16,20,Timber,Pitbull Featuring Ke$ha,35.0,20,4
41734,2013-11-09,35,Timber,Pitbull Featuring Ke$ha,46.0,35,3
41845,2013-11-02,46,Timber,Pitbull Featuring Ke$ha,49.0,46,2
41948,2013-10-26,49,Timber,Pitbull Featuring Ke$ha,,49,1
43341,2013-07-20,42,Feel This Moment,Pitbull Featuring Christina Aguilera,39.0,8,24
43438,2013-07-13,39,Feel This Moment,Pitbull Featuring Christina Aguilera,31.0,8,23
43530,2013-07-06,31,Feel This Moment,Pitbull Featuring Christina Aguilera,34.0,8,22
43633,2013-06-29,34,Feel This Moment,Pitbull Featuring Christina Aguilera,30.0,8,21
43681,2013-06-29,82,Live It Up,Jennifer Lopez Featuring Pitbull,82.0,60,6
43729,2013-06-22,30,Feel This Moment,Pitbull Featuring Christina Aguilera,23.0,8,20
43781,2013-06-22,82,Live It Up,Jennifer Lopez Featuring Pitbull,71.0,60,5
43822,2013-06-15,23,Feel This Moment,Pitbull Featuring Christina Aguilera,18.0,8,19
43870,2013-06-15,71,Live It Up,Jennifer Lopez Featuring Pitbull,60.0,60,4
43917,2013-06-08,18,Feel This Moment,Pitbull Featuring Christina Aguilera,17.0,8,18
43959,2013-06-08,60,Live It Up,Jennifer Lopez Featuring Pitbull,62.0,60,3
44016,2013-06-01,17,Feel This Moment,Pitbull Featuring Christina Aguilera,13.0,8,17
44061,2013-06-01,62,Live It Up,Jennifer Lopez Featuring Pitbull,73.0,62,2
44112,2013-05-25,13,Feel This Moment,Pitbull Featuring Christina Aguilera,10.0,8,16
44172,2013-05-25,73,Live It Up,Jennifer Lopez Featuring Pitbull,,73,1
44209,2013-05-18,10,Feel This Moment,Pitbull Featuring Christina Aguilera,8.0,8,15
44296,2013-05-18,97,Sexy People (The Fiat Song),Arianna Featuring Pitbull,,97,1
44307,2013-05-11,8,Feel This Moment,Pitbull Featuring Christina Aguilera,9.0,8,14
44408,2013-05-04,9,Feel This Moment,Pitbull Featuring Christina Aguilera,8.0,8,13
44507,2013-04-27,8,Feel This Moment,Pitbull Featuring Christina Aguilera,10.0,8,12
44609,2013-04-20,10,Feel This Moment,Pitbull Featuring Christina Aguilera,9.0,8,11
44708,2013-04-13,9,Feel This Moment,Pitbull Featuring Christina Aguilera,8.0,8,10
44807,2013-04-06,8,Feel This Moment,Pitbull Featuring Christina Aguilera,11.0,8,9
44910,2013-03-30,11,Feel This Moment,Pitbull Featuring Christina Aguilera,13.0,11,8
45012,2013-03-23,13,Feel This Moment,Pitbull Featuring Christina Aguilera,18.0,13,7
45117,2013-03-16,18,Feel This Moment,Pitbull Featuring Christina Aguilera,28.0,18,6
45175,2013-03-16,76,Don't Stop The Party,Pitbull Featuring TJR,65.0,17,20
45227,2013-03-09,28,Feel This Moment,Pitbull Featuring Christina Aguilera,47.0,28,5
45264,2013-03-09,65,Don't Stop The Party,Pitbull Featuring TJR,59.0,17,19
45346,2013-03-02,47,Feel This Moment,Pitbull Featuring Christina Aguilera,55.0,47,4
45358,2013-03-02,59,Don't Stop The Party,Pitbull Featuring TJR,44.0,17,18
45443,2013-02-23,44,Don't Stop The Party,Pitbull Featuring TJR,32.0,17,17
45454,2013-02-23,55,Feel This Moment,Pitbull Featuring Christina Aguilera,76.0,55,3
45531,2013-02-16,32,Don't Stop The Party,Pitbull Featuring TJR,27.0,17,16
45575,2013-02-16,76,Feel This Moment,Pitbull Featuring Christina Aguilera,99.0,76,2
45626,2013-02-09,27,Don't Stop The Party,Pitbull Featuring TJR,22.0,17,15
45698,2013-02-09,99,Feel This Moment,Pitbull Featuring Christina Aguilera,,99,1
45721,2013-02-02,22,Don't Stop The Party,Pitbull Featuring TJR,17.0,17,14
45816,2013-01-26,17,Don't Stop The Party,Pitbull Featuring TJR,17.0,17,13
45916,2013-01-19,17,Don't Stop The Party,Pitbull Featuring TJR,31.0,17,12
46030,2013-01-12,31,Don't Stop The Party,Pitbull Featuring TJR,27.0,27,11
46126,2013-01-05,27,Don't Stop The Party,Pitbull Featuring TJR,30.0,27,10
46229,2012-12-29,30,Don't Stop The Party,Pitbull Featuring TJR,31.0,30,9
46330,2012-12-22,31,Don't Stop The Party,Pitbull Featuring TJR,31.0,30,8
46430,2012-12-15,31,Don't Stop The Party,Pitbull Featuring TJR,30.0,30,7
46529,2012-12-08,30,Don't Stop The Party,Pitbull Featuring TJR,61.0,30,6
46660,2012-12-01,61,Don't Stop The Party,Pitbull Featuring TJR,81.0,61,5
46780,2012-11-24,81,Don't Stop The Party,Pitbull Featuring TJR,91.0,81,4
46890,2012-11-17,91,Don't Stop The Party,Pitbull Featuring TJR,99.0,89,3
46998,2012-11-10,99,Don't Stop The Party,Pitbull Featuring TJR,,89,2
47388,2012-10-13,89,Don't Stop The Party,Pitbull Featuring TJR,,89,1
47843,2012-09-08,44,We Run The Night,Havana Brown Featuring Pitbull,35.0,26,22
47934,2012-09-01,35,We Run The Night,Havana Brown Featuring Pitbull,31.0,26,21
47978,2012-09-01,79,Back In Time,Pitbull,75.0,11,20
48030,2012-08-25,31,We Run The Night,Havana Brown Featuring Pitbull,28.0,26,20
48074,2012-08-25,75,Back In Time,Pitbull,66.0,11,19
48127,2012-08-18,28,We Run The Night,Havana Brown Featuring Pitbull,26.0,26,19
48165,2012-08-18,66,Back In Time,Pitbull,55.0,11,18
48189,2012-08-18,90,Dance Again,Jennifer Lopez Featuring Pitbull,90.0,17,18
48225,2012-08-11,26,We Run The Night,Havana Brown Featuring Pitbull,27.0,26,18
48254,2012-08-11,55,Back In Time,Pitbull,50.0,11,17
48289,2012-08-11,90,Dance Again,Jennifer Lopez Featuring Pitbull,100.0,17,17
48326,2012-08-04,27,We Run The Night,Havana Brown Featuring Pitbull,35.0,27,17
48349,2012-08-04,50,Back In Time,Pitbull,38.0,11,16
48399,2012-08-04,100,Dance Again,Jennifer Lopez Featuring Pitbull,92.0,17,16
48434,2012-07-28,35,We Run The Night,Havana Brown Featuring Pitbull,40.0,35,16
48437,2012-07-28,38,Back In Time,Pitbull,22.0,11,15
48488,2012-07-28,89,Get It Started,Pitbull Featuring Shakira,99.0,89,2
48491,2012-07-28,92,Dance Again,Jennifer Lopez Featuring Pitbull,87.0,17,15
48521,2012-07-21,22,Back In Time,Pitbull,16.0,11,14
48539,2012-07-21,40,We Run The Night,Havana Brown Featuring Pitbull,38.0,38,15
48586,2012-07-21,87,Dance Again,Jennifer Lopez Featuring Pitbull,78.0,17,14
48598,2012-07-21,99,Get It Started,Pitbull Featuring Shakira,,99,1
48615,2012-07-14,16,Back In Time,Pitbull,14.0,11,13
48637,2012-07-14,38,We Run The Night,Havana Brown Featuring Pitbull,38.0,38,14
48677,2012-07-14,78,Dance Again,Jennifer Lopez Featuring Pitbull,80.0,17,13
48713,2012-07-07,14,Back In Time,Pitbull,14.0,11,12
48737,2012-07-07,38,We Run The Night,Havana Brown Featuring Pitbull,48.0,38,13
48779,2012-07-07,80,Dance Again,Jennifer Lopez Featuring Pitbull,76.0,17,12
48813,2012-06-30,14,Back In Time,Pitbull,12.0,11,11
48847,2012-06-30,48,We Run The Night,Havana Brown Featuring Pitbull,53.0,48,12
48875,2012-06-30,76,Dance Again,Jennifer Lopez Featuring Pitbull,65.0,17,11
48911,2012-06-23,12,Back In Time,Pitbull,11.0,11,10
48952,2012-06-23,53,We Run The Night,Havana Brown Featuring Pitbull,49.0,49,11
48964,2012-06-23,65,Dance Again,Jennifer Lopez Featuring Pitbull,52.0,17,10
49010,2012-06-16,11,Back In Time,Pitbull,14.0,11,9
49048,2012-06-16,49,We Run The Night,Havana Brown Featuring Pitbull,56.0,49,10
49051,2012-06-16,52,Dance Again,Jennifer Lopez Featuring Pitbull,34.0,17,9
49084,2012-06-16,85,I'm All Yours,Jay Sean Featuring Pitbull,,85,1
49113,2012-06-09,14,Back In Time,Pitbull,16.0,14,8
49133,2012-06-09,34,Dance Again,Jennifer Lopez Featuring Pitbull,19.0,17,8
49155,2012-06-09,56,We Run The Night,Havana Brown Featuring Pitbull,65.0,56,9
49215,2012-06-02,16,Back In Time,Pitbull,21.0,16,7
49218,2012-06-02,19,Dance Again,Jennifer Lopez Featuring Pitbull,17.0,17,7
49264,2012-06-02,65,We Run The Night,Havana Brown Featuring Pitbull,71.0,65,8
49316,2012-05-26,17,Dance Again,Jennifer Lopez Featuring Pitbull,20.0,17,6
49320,2012-05-26,21,Back In Time,Pitbull,30.0,21,6
49370,2012-05-26,71,We Run The Night,Havana Brown Featuring Pitbull,72.0,71,7
49419,2012-05-19,20,Dance Again,Jennifer Lopez Featuring Pitbull,25.0,20,5
49429,2012-05-19,30,Back In Time,Pitbull,48.0,30,5
49471,2012-05-19,72,We Run The Night,Havana Brown Featuring Pitbull,91.0,72,6
49524,2012-05-12,25,Dance Again,Jennifer Lopez Featuring Pitbull,29.0,25,4
49545,2012-05-12,46,International Love,Pitbull Featuring Chris Brown,42.0,13,26
49547,2012-05-12,48,Back In Time,Pitbull,65.0,48,4
49590,2012-05-12,91,We Run The Night,Havana Brown Featuring Pitbull,94.0,91,5
49628,2012-05-05,29,Dance Again,Jennifer Lopez Featuring Pitbull,34.0,27,3
49641,2012-05-05,42,International Love,Pitbull Featuring Chris Brown,32.0,13,25
49664,2012-05-05,65,Back In Time,Pitbull,83.0,65,3
49693,2012-05-05,94,We Run The Night,Havana Brown Featuring Pitbull,96.0,93,4
49731,2012-04-28,32,International Love,Pitbull Featuring Chris Brown,24.0,13,24
49733,2012-04-28,34,Dance Again,Jennifer Lopez Featuring Pitbull,27.0,27,2
49782,2012-04-28,83,Back In Time,Pitbull,,79,2
49795,2012-04-28,96,We Run The Night,Havana Brown Featuring Pitbull,,93,3
49823,2012-04-21,24,International Love,Pitbull Featuring Chris Brown,22.0,13,23
49826,2012-04-21,27,Dance Again,Jennifer Lopez Featuring Pitbull,,27,1
49921,2012-04-14,22,International Love,Pitbull Featuring Chris Brown,21.0,13,22
49978,2012-04-14,79,Back In Time,Pitbull,,79,1
49992,2012-04-14,93,We Run The Night,Havana Brown Featuring Pitbull,99.0,93,2
50020,2012-04-07,21,International Love,Pitbull Featuring Chris Brown,16.0,13,21
50098,2012-04-07,99,We Run The Night,Havana Brown Featuring Pitbull,,99,1
50115,2012-03-31,16,International Love,Pitbull Featuring Chris Brown,14.0,13,20
50213,2012-03-24,14,International Love,Pitbull Featuring Chris Brown,13.0,13,19
50312,2012-03-17,13,International Love,Pitbull Featuring Chris Brown,13.0,13,18
50412,2012-03-10,13,International Love,Pitbull Featuring Chris Brown,17.0,13,17
50516,2012-03-03,17,International Love,Pitbull Featuring Chris Brown,16.0,13,16
50615,2012-02-25,16,International Love,Pitbull Featuring Chris Brown,15.0,13,15
50714,2012-02-18,15,International Love,Pitbull Featuring Chris Brown,13.0,13,14
50748,2012-02-18,49,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",45.0,1,45
50812,2012-02-11,13,International Love,Pitbull Featuring Chris Brown,18.0,13,13
50844,2012-02-11,45,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",39.0,1,44
50917,2012-02-04,18,International Love,Pitbull Featuring Chris Brown,23.0,18,12
50938,2012-02-04,39,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",37.0,1,43
51022,2012-01-28,23,International Love,Pitbull Featuring Chris Brown,24.0,23,11
51036,2012-01-28,37,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",35.0,1,42
51123,2012-01-21,24,International Love,Pitbull Featuring Chris Brown,33.0,24,10
51134,2012-01-21,35,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",35.0,1,41
51232,2012-01-14,33,International Love,Pitbull Featuring Chris Brown,33.0,30,9
51234,2012-01-14,35,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",38.0,1,40
51332,2012-01-07,33,International Love,Pitbull Featuring Chris Brown,30.0,30,8
51337,2012-01-07,38,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",27.0,1,39
51426,2011-12-31,27,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",26.0,1,38
51429,2011-12-31,30,International Love,Pitbull Featuring Chris Brown,46.0,30,7
51525,2011-12-24,26,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",20.0,1,37
51545,2011-12-24,46,International Love,Pitbull Featuring Chris Brown,56.0,46,6
51619,2011-12-17,20,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",23.0,1,36
51655,2011-12-17,56,International Love,Pitbull Featuring Chris Brown,68.0,56,5
51692,2011-12-17,93,I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,74.0,74,3
51722,2011-12-10,23,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",24.0,1,35
51767,2011-12-10,68,International Love,Pitbull Featuring Chris Brown,79.0,59,4
51773,2011-12-10,74,I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,,74,2
51789,2011-12-10,90,Rain Over Me,Pitbull Featuring Marc Anthony,,30,19
51823,2011-12-03,24,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",25.0,1,34
51878,2011-12-03,79,International Love,Pitbull Featuring Chris Brown,92.0,59,3
51924,2011-11-26,25,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",22.0,1,33
51991,2011-11-26,92,International Love,Pitbull Featuring Chris Brown,,59,2
52021,2011-11-19,22,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",19.0,1,32
52118,2011-11-12,19,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",17.0,1,31
52196,2011-11-12,97,Rain Over Me,Pitbull Featuring Marc Anthony,95.0,30,18
52216,2011-11-05,17,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",14.0,1,30
52294,2011-11-05,95,Rain Over Me,Pitbull Featuring Marc Anthony,95.0,30,17
52313,2011-10-29,14,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",13.0,1,29
52394,2011-10-29,95,Rain Over Me,Pitbull Featuring Marc Anthony,94.0,30,16
52412,2011-10-22,13,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",15.0,1,28
52475,2011-10-22,76,I Like How It Feels,Enrique Iglesias Featuring Pitbull & The WAV.s,,76,1
52493,2011-10-22,94,Rain Over Me,Pitbull Featuring Marc Anthony,74.0,30,15
52514,2011-10-15,15,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",13.0,1,27
52573,2011-10-15,74,Rain Over Me,Pitbull Featuring Marc Anthony,70.0,30,14
52612,2011-10-08,13,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",11.0,1,26
52669,2011-10-08,70,Rain Over Me,Pitbull Featuring Marc Anthony,60.0,30,13
52710,2011-10-01,11,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",13.0,1,25
52759,2011-10-01,60,Rain Over Me,Pitbull Featuring Marc Anthony,54.0,30,12
52812,2011-09-24,13,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",9.0,1,24
52848,2011-09-24,49,On The Floor,Jennifer Lopez Featuring Pitbull,48.0,3,29
52853,2011-09-24,54,Rain Over Me,Pitbull Featuring Marc Anthony,51.0,30,11
52908,2011-09-17,9,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",9.0,1,23
52947,2011-09-17,48,On The Floor,Jennifer Lopez Featuring Pitbull,44.0,3,28
52950,2011-09-17,51,Rain Over Me,Pitbull Featuring Marc Anthony,36.0,30,10
53008,2011-09-10,9,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",11.0,1,22
53035,2011-09-10,36,Rain Over Me,Pitbull Featuring Marc Anthony,32.0,30,9
53043,2011-09-10,44,On The Floor,Jennifer Lopez Featuring Pitbull,43.0,3,27
53110,2011-09-03,11,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",7.0,1,21
53131,2011-09-03,32,Rain Over Me,Pitbull Featuring Marc Anthony,30.0,30,8
53142,2011-09-03,43,On The Floor,Jennifer Lopez Featuring Pitbull,37.0,3,26
53206,2011-08-27,7,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",4.0,1,20
53229,2011-08-27,30,Rain Over Me,Pitbull Featuring Marc Anthony,31.0,30,7
53236,2011-08-27,37,On The Floor,Jennifer Lopez Featuring Pitbull,34.0,3,25
53303,2011-08-20,4,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",4.0,1,19
53330,2011-08-20,31,Rain Over Me,Pitbull Featuring Marc Anthony,40.0,31,6
53333,2011-08-20,34,On The Floor,Jennifer Lopez Featuring Pitbull,33.0,3,24
53403,2011-08-13,4,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",3.0,1,18
53432,2011-08-13,33,On The Floor,Jennifer Lopez Featuring Pitbull,25.0,3,23
53439,2011-08-13,40,Rain Over Me,Pitbull Featuring Marc Anthony,59.0,40,5
53502,2011-08-06,3,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2.0,1,17
53524,2011-08-06,25,On The Floor,Jennifer Lopez Featuring Pitbull,26.0,3,22
53558,2011-08-06,59,Rain Over Me,Pitbull Featuring Marc Anthony,81.0,59,4
53601,2011-07-30,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2.0,1,16
53625,2011-07-30,26,On The Floor,Jennifer Lopez Featuring Pitbull,20.0,3,21
53680,2011-07-30,81,Rain Over Me,Pitbull Featuring Marc Anthony,93.0,75,3
53701,2011-07-23,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2.0,1,15
53719,2011-07-23,20,On The Floor,Jennifer Lopez Featuring Pitbull,19.0,3,20
53792,2011-07-23,93,Rain Over Me,Pitbull Featuring Marc Anthony,,75,2
53801,2011-07-16,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",1.0,1,14
53818,2011-07-16,19,On The Floor,Jennifer Lopez Featuring Pitbull,16.0,3,19
53886,2011-07-16,87,Shake Senora,Pitbull Featuring T-Pain & Sean Paul,69.0,69,2
53900,2011-07-09,1,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2.0,1,13
53915,2011-07-09,16,On The Floor,Jennifer Lopez Featuring Pitbull,12.0,3,18
53968,2011-07-09,69,Shake Senora,Pitbull Featuring T-Pain & Sean Paul,,69,1
54001,2011-07-02,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2.0,2,12
54011,2011-07-02,12,On The Floor,Jennifer Lopez Featuring Pitbull,7.0,3,17
54074,2011-07-02,75,Rain Over Me,Pitbull Featuring Marc Anthony,,75,1
54101,2011-06-25,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2.0,2,11
54106,2011-06-25,7,On The Floor,Jennifer Lopez Featuring Pitbull,5.0,3,16
54172,2011-06-25,73,Pause,Pitbull,,73,1
54201,2011-06-18,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",2.0,2,10
54204,2011-06-18,5,On The Floor,Jennifer Lopez Featuring Pitbull,4.0,3,15
54258,2011-06-18,59,International Love,Pitbull Featuring Chris Brown,,59,1
54301,2011-06-11,2,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",3.0,2,9
54303,2011-06-11,4,On The Floor,Jennifer Lopez Featuring Pitbull,5.0,3,14
54402,2011-06-04,3,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",4.0,3,8
54404,2011-06-04,5,On The Floor,Jennifer Lopez Featuring Pitbull,6.0,3,13
54503,2011-05-28,4,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",8.0,4,7
54505,2011-05-28,6,On The Floor,Jennifer Lopez Featuring Pitbull,3.0,3,12
54602,2011-05-21,3,On The Floor,Jennifer Lopez Featuring Pitbull,7.0,3,11
54607,2011-05-21,8,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",13.0,8,6
54706,2011-05-14,7,On The Floor,Jennifer Lopez Featuring Pitbull,7.0,5,10
54712,2011-05-14,13,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",19.0,13,5
54740,2011-05-14,41,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,35.0,7,31
54806,2011-05-07,7,On The Floor,Jennifer Lopez Featuring Pitbull,8.0,5,9
54818,2011-05-07,19,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",20.0,17,4
54834,2011-05-07,35,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,28.0,7,30
54907,2011-04-30,8,On The Floor,Jennifer Lopez Featuring Pitbull,9.0,5,8
54919,2011-04-30,20,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",17.0,17,3
54927,2011-04-30,28,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,22.0,7,29
55008,2011-04-23,9,On The Floor,Jennifer Lopez Featuring Pitbull,8.0,5,7
55016,2011-04-23,17,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",60.0,17,2
55021,2011-04-23,22,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,18.0,7,28
55107,2011-04-16,8,On The Floor,Jennifer Lopez Featuring Pitbull,10.0,5,6
55117,2011-04-16,18,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,16.0,7,27
55159,2011-04-16,60,Give Me Everything,"Pitbull Featuring Ne-Yo, Afrojack & Nayer",,60,1
55209,2011-04-09,10,On The Floor,Jennifer Lopez Featuring Pitbull,13.0,5,5
55215,2011-04-09,16,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,17.0,7,26
55312,2011-04-02,13,On The Floor,Jennifer Lopez Featuring Pitbull,5.0,5,4
55316,2011-04-02,17,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,15.0,7,25
55404,2011-03-26,5,On The Floor,Jennifer Lopez Featuring Pitbull,5.0,5,3
55414,2011-03-26,15,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,14.0,7,24
55504,2011-03-19,5,On The Floor,Jennifer Lopez Featuring Pitbull,9.0,5,2
55513,2011-03-19,14,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,14.0,7,23
55546,2011-03-19,47,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,43.0,4,34
55608,2011-03-12,9,On The Floor,Jennifer Lopez Featuring Pitbull,,9,1
55613,2011-03-12,14,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,17.0,7,22
55642,2011-03-12,43,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,41.0,4,33
55716,2011-03-05,17,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,12.0,7,21
55740,2011-03-05,41,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,40.0,4,32
55811,2011-02-26,12,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,9.0,7,20
55839,2011-02-26,40,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,33.0,4,31
55908,2011-02-19,9,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,7.0,7,19
55932,2011-02-19,33,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,30.0,4,30
56006,2011-02-12,7,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,10.0,7,18
56029,2011-02-12,30,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,24.0,4,29
56049,2011-02-12,50,I Like It,Enrique Iglesias Featuring Pitbull,48.0,4,38
56109,2011-02-05,10,Hey Baby (Drop It To The Floor),Pitbull Featuring T-Pain,20.0,10,17
56123,2011-02-05,24,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,25.0,4,28
56147,2011-02-05,48,I Like It,Enrique Iglesias Featuring Pitbull,45.0,4,37
